kalpi,sum,Abeba David,Abeba Lior,Akunis Ofir,Amsalem David,Azbera Goma,Barak Keren,Barkat Nir,Ben Pinhas Yoseg Eyal,Berko Anat,Bitan David,Boker Navah,Cohen Fernand,Davidi Eli,Dichter Avi,Dichter Avital,Edelstein Yuli,Elkin Zeev,Erdan Gilad,Fadida Nissim,Fleishman Zeev,Fridelman Hinda,Galant Yoav,Gamliel Gila,Glick Yehuda,Golan May,Halabi Rafe,Halevi Shosh,Hanegbi Tsahi,Haskel Sharen,Hazah Oren,Hetayev Faisal,Hieb Hassan,Hirshman Nir,Hotoveli Tzipi,Ilgiev Gregory,Kaidaba Samir,Kara Iub,Katz Haim,Katz Israel,Kish Yoav,Koren Nurit,Krinawi Atef,Levin Yariv,Lovovikov Michael,Maharat Gilad,Malka Elad,Mark Osnat,Mazuz Yaron,Moses Heidi,Mula Patin,Mustafa Gihad,Nager Yoel,Nahon Tzofia,Negosa Avraham,Nevuani Osama,Ohana Amir,Parhat Ata,Pasal Moshe,Pinto Jacky,Regev Miri,Saar Gidon,Salah Salah,Sefadi Mendi,Sela Noam,Shitrti Kathy,Shtagman Ayala,Shteinits Yuval,Taya Dima,Vidar Yaakov,Yogev Mot,Yona Elad,Zohar Mickey
100112,1140,0,0,24,49,1,11,42,1,12,44,8,2,13,52,7,51,34,48,1,6,0,48,36,12,15,0,0,31,7,15,0,1,14,28,1,2,18,36,53,21,11,1,53,3,1,5,9,7,1,2,0,4,1,9,0,31,0,17,1,63,48,9,0,2,28,0,48,2,2,11,4,23
100113,1163,2,1,25,51,0,10,51,0,12,43,3,0,6,50,11,63,31,58,0,6,1,43,31,17,16,0,0,27,11,10,0,0,12,29,1,1,10,60,66,26,8,1,32,1,1,5,4,9,1,7,1,3,0,11,1,24,1,19,0,60,65,4,0,2,31,0,57,1,0,4,1,25
100114,1356,3,2,45,53,1,11,65,0,12,47,13,1,13,65,3,69,39,63,1,5,0,49,33,17,16,1,0,35,15,17,1,1,15,40,1,1,22,55,65,28,13,2,51,1,1,10,4,10,1,4,0,3,3,10,1,40,2,12,1,67,61,8,0,6,24,1,58,1,2,8,2,26
100115,1279,3,3,28,53,2,16,59,0,17,43,10,0,11,52,14,62,34,65,0,3,0,47,26,15,11,1,0,23,10,24,1,2,9,36,2,1,13,58,77,24,15,1,42,3,1,12,7,9,0,2,0,0,0,12,1,44,1,18,1,69,62,7,1,0,25,0,52,3,0,7,0,29
100116,1092,3,2,28,53,5,18,37,0,6,48,5,3,5,39,7,58,26,40,1,10,0,32,28,15,21,0,3,16,15,16,2,2,12,30,0,2,11,56,42,26,12,0,40,6,2,10,3,14,1,8,1,0,1,16,2,25,2,11,2,51,52,4,0,0,23,0,43,2,1,5,1,31
100117,1121,4,3,33,49,1,13,40,1,12,40,5,0,8,56,7,54,32,54,1,8,1,41,32,3,9,0,0,36,14,18,1,0,10,29,2,0,14,52,67,22,12,1,35,1,2,8,3,7,1,4,0,2,1,13,0,24,1,15,1,58,55,7,0,0,10,1,48,1,0,8,1,29
100201,899,1,0,29,12,0,6,51,0,13,24,20,1,0,52,4,29,35,49,1,1,0,52,40,10,4,1,0,19,9,13,0,0,4,17,0,0,20,30,48,24,18,1,50,1,0,2,6,4,2,2,0,0,0,6,0,31,0,1,0,44,38,1,0,1,20,1,33,3,0,1,1,13
100202,867,0,0,30,14,0,7,55,0,10,23,18,1,2,52,0,34,35,38,1,2,0,43,38,12,5,0,0,21,10,9,0,0,5,26,0,0,10,29,39,24,13,0,42,0,0,1,0,3,1,5,0,0,1,7,0,25,3,3,0,36,48,0,0,4,22,1,37,2,0,1,0,19
100203,933,3,0,32,23,0,4,64,0,7,22,23,0,0,60,3,37,34,48,0,0,2,42,43,7,4,0,0,26,11,14,0,0,5,24,0,0,18,31,45,35,22,0,32,0,0,5,3,1,0,3,0,1,0,7,0,23,2,4,0,42,44,0,0,1,20,0,32,5,0,0,0,19
100301,1210,3,2,28,52,0,22,47,0,8,26,6,0,0,75,4,44,53,78,0,2,0,67,49,9,17,1,0,35,13,23,1,0,15,50,1,0,12,27,56,25,19,1,39,3,1,2,16,3,1,11,0,0,0,6,1,28,1,8,0,59,50,14,0,1,11,2,32,0,1,1,0,48
100302,1187,1,3,33,49,0,21,40,0,15,30,11,2,0,74,1,38,46,77,2,3,0,69,48,9,15,0,0,27,8,23,0,3,11,48,0,0,19,36,42,24,17,0,37,0,0,6,16,4,0,13,1,0,3,7,0,28,1,13,0,60,53,12,0,1,6,2,21,1,2,2,3,50
100303,1279,3,2,41,46,0,26,63,1,13,33,15,1,0,71,6,45,45,65,0,1,1,69,39,10,16,0,1,29,10,29,1,5,15,41,3,1,24,43,59,26,12,1,39,3,1,9,15,3,0,14,1,2,8,5,2,26,1,11,2,54,58,12,1,2,11,1,18,3,4,7,7,47
100304,1290,4,3,34,47,1,28,58,0,18,20,14,3,1,71,9,30,48,83,1,0,0,78,47,4,18,1,0,42,13,18,1,1,16,53,1,2,15,24,58,24,22,1,47,1,3,6,19,0,2,15,1,3,2,4,2,35,2,12,0,57,48,17,2,2,7,4,35,1,3,3,2,43
100305,1207,2,2,28,51,1,34,44,1,9,30,15,1,0,76,1,42,44,74,2,7,2,74,34,9,16,1,0,33,10,25,2,3,13,40,0,2,18,33,47,26,12,1,44,1,0,5,12,2,1,14,0,0,4,7,0,27,3,5,1,54,49,9,1,1,9,3,29,1,1,4,4,51
100306,1197,2,4,35,48,0,22,56,0,14,29,13,4,1,71,9,35,42,70,0,1,0,65,47,11,13,0,0,26,8,28,1,1,11,44,3,0,26,30,57,19,21,2,41,2,1,3,14,3,2,8,0,0,2,4,0,31,3,10,1,53,54,10,0,1,8,0,25,0,1,3,4,44
100307,1222,0,1,25,43,0,32,55,0,12,25,14,0,1,71,1,41,51,74,0,1,0,73,46,10,13,0,0,30,7,13,0,1,19,46,1,1,18,36,64,26,22,0,37,1,0,3,24,5,0,16,0,0,2,2,0,32,0,18,0,51,51,15,0,0,6,0,28,0,2,3,3,50
100308,1277,2,1,37,50,0,25,54,0,11,31,8,0,0,71,3,43,48,84,0,2,0,80,55,8,23,1,0,39,10,18,0,1,17,67,1,0,19,32,54,30,26,0,41,2,0,2,16,5,0,11,1,0,2,2,0,29,0,8,2,52,53,16,0,1,6,0,26,0,1,2,3,45
100309,1176,2,3,25,46,0,37,54,0,8,33,11,0,0,77,4,41,33,79,0,1,0,64,45,9,15,0,1,26,4,23,0,1,12,41,2,1,18,42,58,18,18,0,41,0,0,2,11,4,0,14,0,0,2,1,0,25,0,14,0,62,48,10,0,3,7,0,26,0,0,2,3,49
100310,1316,2,2,35,59,0,35,57,0,8,23,15,0,0,85,3,55,50,82,0,0,0,76,43,11,12,0,0,27,8,24,1,1,10,43,1,4,25,31,68,26,22,1,45,2,1,4,13,1,0,14,0,1,1,4,0,40,1,10,0,66,56,9,0,1,8,2,30,2,0,1,3,56
100311,1248,3,3,20,52,0,31,56,0,14,28,16,1,4,79,5,39,40,83,1,1,0,79,44,7,14,0,0,27,8,18,0,0,11,46,1,1,14,42,51,24,17,2,48,2,1,2,12,7,0,18,0,1,1,5,0,31,0,18,0,61,61,10,0,1,6,2,28,3,0,4,3,41
100401,1943,2,1,83,43,0,58,62,0,12,112,13,0,1,43,3,125,64,81,1,0,0,81,94,22,19,0,0,89,20,35,0,1,4,27,2,0,60,93,80,14,29,4,26,2,1,9,124,16,0,10,0,0,1,12,0,27,1,1,2,73,134,0,0,3,6,0,61,0,7,0,2,47
100402,1921,1,0,75,40,0,65,65,0,16,108,6,0,4,44,6,125,62,84,1,0,0,87,90,12,28,0,2,83,27,24,1,1,4,18,1,0,60,99,73,17,25,2,32,1,0,10,117,7,0,4,0,5,1,7,1,37,3,3,3,75,130,2,0,1,8,0,61,2,5,0,3,47
100403,1980,3,3,89,41,0,68,68,0,15,112,5,0,2,40,3,122,70,84,2,1,0,85,86,16,18,0,1,86,26,33,0,0,4,27,0,1,58,110,75,19,32,2,38,2,0,9,121,11,0,6,1,1,1,7,1,32,3,1,0,78,132,1,0,2,6,0,59,1,6,1,0,53
100501,1117,1,0,30,25,0,17,54,1,18,21,5,0,8,53,6,48,34,39,0,1,1,50,36,19,18,1,1,33,29,17,0,0,19,47,0,0,27,26,49,28,18,1,43,1,1,6,5,15,1,7,1,0,1,8,3,42,7,10,2,50,40,1,1,2,15,2,34,4,2,5,1,26
100502,995,3,3,26,44,0,18,36,0,12,43,4,0,8,32,3,47,23,34,0,4,1,29,21,15,11,1,0,20,19,10,0,1,10,36,1,0,17,33,30,35,14,1,28,1,2,7,5,5,1,5,1,0,3,25,4,30,5,19,0,47,44,0,2,6,28,1,29,4,5,5,0,38
100503,1040,2,0,27,31,0,21,37,0,18,30,5,1,5,32,2,56,20,30,1,3,1,35,23,26,5,1,2,29,30,9,0,0,15,40,2,0,19,29,43,32,15,0,29,2,1,8,10,8,1,13,0,0,2,21,1,30,6,17,0,56,48,1,1,2,21,1,38,2,3,4,2,35
100504,1006,1,0,25,28,0,20,44,0,11,22,1,0,10,39,2,55,27,31,1,5,0,44,23,15,15,1,0,29,22,11,0,0,19,32,0,1,18,23,49,33,18,2,31,2,0,7,1,3,3,9,1,2,3,12,3,39,9,9,3,49,47,1,1,3,17,1,29,4,3,9,0,28
100505,804,1,0,23,22,1,15,28,0,11,24,3,0,8,33,2,38,17,24,0,1,0,29,14,12,11,1,0,21,19,13,1,2,15,18,0,0,11,22,27,28,12,1,32,11,0,6,6,8,1,5,1,1,1,11,4,28,8,10,0,38,37,2,1,6,17,0,23,5,2,9,2,21
100506,913,1,0,23,26,0,16,36,1,14,23,2,0,9,35,3,41,21,30,0,1,0,35,28,13,16,0,0,27,23,10,0,0,16,34,0,0,15,26,48,31,14,0,31,0,0,6,2,6,1,7,0,0,0,12,4,33,6,13,0,46,43,0,0,2,17,1,26,4,4,7,0,24
100507,899,1,2,23,27,1,17,44,0,17,27,6,0,7,30,4,47,26,25,0,1,0,30,32,21,12,0,1,28,24,8,0,0,18,30,0,0,13,18,34,30,22,2,30,2,0,5,2,2,1,11,0,0,2,10,1,23,6,10,0,46,42,1,1,3,14,0,24,1,1,7,2,24
100508,852,4,1,20,28,1,12,37,0,10,22,1,0,7,31,4,35,23,28,1,1,2,35,20,21,12,0,0,32,18,9,0,3,15,26,0,1,15,22,36,30,18,2,33,1,1,4,1,2,0,8,0,0,1,11,1,28,5,9,0,40,38,0,1,1,15,0,30,2,1,7,1,28
100509,1202,5,1,33,38,1,29,42,3,24,29,3,0,14,56,2,53,30,41,0,0,1,54,20,14,18,0,3,30,16,12,0,4,20,42,3,1,21,29,43,41,22,1,54,4,0,7,7,7,1,6,0,1,0,13,3,42,14,14,0,56,52,2,1,7,26,1,33,4,2,15,1,30
100510,828,2,1,22,22,1,23,30,0,19,22,4,0,7,27,6,41,18,26,0,2,0,28,18,17,10,0,1,26,26,3,1,0,18,27,0,1,13,25,30,27,15,1,23,1,2,7,1,8,0,4,0,1,0,12,8,32,9,7,0,25,42,1,0,6,12,3,25,3,1,9,1,25
100511,1020,3,2,26,30,0,16,40,0,18,32,5,0,9,40,9,46,30,39,0,1,0,43,16,15,16,0,0,26,18,11,0,0,15,40,1,1,28,25,43,29,13,2,39,2,1,5,4,8,1,3,1,0,0,15,3,29,9,14,0,54,47,0,3,3,22,0,27,3,2,11,2,24
100512,1008,0,0,16,35,1,20,38,1,16,33,5,1,8,36,1,50,23,26,0,3,0,36,29,21,16,2,0,32,17,9,0,0,18,38,0,0,14,38,34,33,19,1,31,2,0,3,0,7,1,8,0,1,3,21,6,27,9,17,0,56,39,0,1,5,22,3,27,3,0,8,0,38
100513,1128,1,0,36,37,0,23,45,0,15,38,5,0,6,42,5,64,37,36,0,0,1,42,24,25,11,0,0,22,27,8,1,0,13,48,0,0,17,30,42,35,14,2,36,4,0,10,4,5,1,4,0,0,2,21,2,40,6,18,0,50,58,0,0,6,28,0,34,4,1,5,1,36
100514,989,1,0,21,30,0,21,45,0,21,26,7,0,8,40,3,39,23,27,2,3,1,41,26,21,10,0,0,34,26,8,1,0,17,39,1,0,16,19,52,24,20,0,36,2,2,2,6,5,1,9,0,1,1,12,4,34,9,13,0,43,36,2,1,2,19,1,31,4,0,6,3,31
100601,1917,3,2,100,105,0,6,59,0,55,37,26,0,2,109,7,93,43,66,1,0,0,119,50,5,12,1,0,16,13,19,0,1,3,49,0,1,26,69,113,103,17,0,105,0,1,2,3,39,0,2,0,0,1,1,0,47,2,1,0,112,99,1,1,0,10,0,58,0,1,1,0,99
100602,1592,1,0,63,82,1,2,46,0,29,32,25,0,1,93,12,88,28,58,0,1,0,105,52,5,2,0,0,15,4,14,0,0,3,29,1,1,11,73,103,91,16,1,81,0,0,0,1,46,1,0,1,0,1,3,0,29,1,1,0,103,85,1,1,2,9,0,38,0,0,0,0,100
100701,2953,9,6,77,111,12,42,166,0,41,106,13,1,16,120,9,173,86,106,0,2,3,104,82,36,18,1,2,50,39,25,2,0,24,65,6,0,21,94,116,100,15,1,108,14,1,4,11,7,5,14,1,9,5,65,4,69,1,66,0,157,138,19,4,10,97,1,102,6,5,4,21,105
100801,1291,0,0,24,59,1,11,89,0,4,46,6,0,1,36,3,57,31,89,0,10,0,74,20,13,1,0,0,37,7,10,0,0,2,39,0,0,18,68,79,28,6,0,74,1,0,5,1,10,1,28,0,0,1,15,0,13,0,1,0,85,44,0,0,0,81,0,29,1,2,0,5,25
100802,1363,2,1,27,58,0,30,79,1,10,52,4,0,0,35,3,65,28,94,2,16,1,81,25,13,3,0,0,38,8,7,0,0,3,27,3,1,10,83,87,33,3,0,76,3,0,2,2,4,1,32,1,0,1,21,1,13,1,2,0,77,48,1,0,0,82,1,29,1,1,1,3,26
100803,1286,2,0,26,50,0,15,73,1,5,50,5,1,0,31,7,57,27,89,4,16,1,68,31,11,7,0,0,45,8,12,0,0,0,34,0,0,13,76,76,23,3,0,67,1,1,2,1,10,1,29,1,0,0,23,0,14,1,2,1,77,43,0,0,0,73,0,28,1,0,1,8,34
100804,1476,4,2,32,64,1,15,71,0,8,48,7,0,1,35,2,72,37,91,0,14,2,68,46,20,3,0,0,49,8,8,0,0,2,35,1,1,11,87,84,37,3,0,80,1,3,7,1,11,0,28,0,0,1,37,0,19,0,3,0,85,61,0,1,2,86,2,25,4,2,0,14,34
100805,1369,1,1,31,53,0,20,77,1,6,46,6,0,0,38,5,71,28,83,1,19,0,70,36,14,2,2,0,48,15,8,0,0,2,28,0,1,14,77,81,26,3,1,72,1,0,7,2,9,2,27,1,0,0,26,0,21,2,0,1,74,59,2,0,1,74,0,24,1,2,0,11,35
100806,1640,3,1,30,69,0,21,101,0,6,38,3,0,0,46,5,76,38,116,0,18,0,98,36,24,5,0,0,50,13,13,0,0,3,48,0,0,24,97,98,32,6,0,98,2,0,4,0,8,0,36,1,0,1,23,0,20,1,1,0,94,58,0,0,3,93,0,34,1,1,0,4,39
100807,1404,3,2,36,57,1,21,76,0,3,52,4,0,1,32,2,78,30,105,0,18,0,70,33,12,5,1,0,53,9,8,0,0,2,28,1,0,11,86,82,31,5,0,81,0,1,2,0,3,0,29,0,0,1,22,0,14,1,0,0,75,59,0,0,1,85,0,31,1,1,1,4,34
100808,1375,0,0,24,63,0,18,75,1,4,50,7,0,1,36,2,72,31,89,0,16,0,72,38,21,5,0,0,49,11,11,0,0,5,31,0,0,7,78,75,28,6,0,74,1,0,5,3,9,2,28,1,0,1,25,1,15,0,0,0,76,52,0,0,0,79,0,31,0,0,2,9,35
100809,1572,0,0,28,66,0,17,94,0,7,58,2,0,0,38,3,76,39,105,0,16,1,90,36,21,5,0,0,43,12,10,1,0,1,41,0,1,24,90,92,34,6,0,91,2,0,6,2,7,0,35,0,0,0,20,1,20,0,1,0,97,56,0,0,1,93,0,35,3,1,1,9,34
100810,1362,5,2,19,66,1,23,80,1,5,57,6,1,1,27,3,65,25,89,0,21,1,75,30,13,4,1,2,43,10,5,0,1,8,28,0,0,10,85,79,24,7,1,72,0,0,4,1,4,1,36,1,1,0,26,2,12,0,0,0,74,47,0,0,2,74,1,34,2,3,0,5,36
100901,768,0,0,27,32,1,7,30,0,12,21,5,1,9,27,4,38,33,37,0,0,0,43,33,6,10,0,0,15,13,20,0,0,2,17,1,0,24,16,43,19,4,0,29,2,0,5,2,4,0,1,0,0,0,4,0,36,0,7,1,45,35,0,0,0,11,0,18,1,1,2,1,13
100902,743,0,0,24,24,0,5,30,0,10,15,12,1,3,25,2,27,25,49,1,0,1,44,36,5,6,1,0,18,18,26,0,0,0,17,0,1,12,24,38,17,2,0,38,0,0,2,2,1,0,2,0,0,0,2,0,30,0,3,0,51,40,1,0,1,12,0,19,2,1,1,0,16
100903,780,1,1,26,25,2,9,34,0,15,19,10,0,4,39,4,28,29,39,0,1,0,43,33,4,10,0,0,20,14,17,0,0,2,16,1,0,15,24,43,19,1,0,34,1,1,1,1,1,1,0,0,2,1,3,0,36,1,3,3,46,39,0,0,0,17,1,21,0,2,1,2,14
101001,2189,0,2,140,151,0,5,48,0,20,134,4,0,0,134,4,41,53,32,0,0,1,149,120,15,2,0,0,40,16,25,4,0,4,59,0,0,36,17,150,40,4,1,158,1,0,4,119,66,1,2,0,0,4,71,8,25,0,9,0,87,106,0,0,5,14,0,37,4,2,2,4,9
101101,1125,1,1,15,37,1,12,46,2,11,43,2,0,4,19,3,70,70,55,1,1,0,41,19,16,35,0,1,10,12,8,0,0,6,49,1,0,12,47,25,48,7,2,71,2,1,4,3,17,0,3,0,0,1,4,0,16,0,2,1,56,68,0,1,5,44,1,31,0,1,1,1,58
101201,1635,1,1,45,66,3,25,112,0,34,68,63,0,8,55,5,79,82,86,0,0,1,102,24,26,6,0,0,37,17,34,0,1,15,26,2,0,18,31,74,27,18,0,57,1,0,3,4,17,2,13,0,0,1,2,0,50,10,24,5,100,83,0,0,1,3,1,36,2,0,5,9,14
101202,1523,1,0,43,55,1,22,102,0,24,61,57,0,8,51,4,69,63,80,2,1,0,94,27,25,5,0,0,32,21,45,0,0,15,33,0,1,15,26,74,23,16,1,51,1,0,2,5,20,1,14,0,1,2,3,0,51,10,16,1,92,86,0,0,1,3,1,38,3,0,1,10,13
101203,1290,1,1,41,49,0,14,82,1,32,69,53,0,9,40,5,63,64,73,0,1,0,79,19,12,3,1,2,27,11,33,0,1,7,29,2,1,12,29,61,22,6,4,40,0,1,2,1,15,0,3,0,1,0,2,1,34,9,13,2,81,69,0,2,0,5,1,29,1,0,0,9,10
101301,2639,2,14,75,35,1,80,185,0,70,25,14,0,40,142,5,102,45,91,0,0,1,146,103,56,9,2,0,122,97,22,1,6,44,73,0,2,22,42,152,81,42,2,118,6,2,14,3,4,4,38,13,1,4,4,2,89,40,1,0,65,112,1,1,2,20,7,98,7,1,3,2,26
101401,1081,2,0,25,42,0,22,48,0,18,27,21,1,7,45,5,37,34,58,0,5,0,51,41,10,8,1,0,21,17,10,0,5,12,40,1,0,29,19,40,30,9,1,50,3,2,3,5,10,0,6,0,0,2,12,1,39,2,2,0,57,52,6,0,5,9,2,28,3,1,2,14,23
101402,1196,9,1,28,49,1,21,50,0,14,44,14,0,9,54,4,48,38,57,0,2,0,46,38,13,12,1,1,24,16,18,0,3,14,40,0,1,28,20,47,28,12,1,59,2,3,3,9,12,0,6,0,0,0,22,0,55,1,0,0,45,56,9,2,5,10,2,34,2,1,1,15,36
101403,1056,5,1,31,37,1,17,46,1,16,29,11,0,11,47,5,39,32,55,0,3,1,55,42,6,16,1,0,26,8,6,0,1,16,47,0,0,21,13,52,29,15,0,61,1,4,2,2,5,1,3,0,0,1,4,0,43,4,2,0,47,36,12,0,1,10,1,34,5,1,1,9,24
101404,1201,3,2,33,43,1,20,46,0,18,38,16,0,11,46,7,47,41,65,0,1,2,54,44,6,20,1,0,32,17,12,0,2,18,46,0,1,18,30,52,30,7,0,60,1,3,1,5,12,3,4,0,0,1,12,0,47,2,1,0,59,52,11,0,4,14,2,30,5,0,2,11,29
101405,1052,5,1,23,42,0,18,38,0,12,42,19,0,10,28,5,27,29,46,3,2,0,45,46,7,13,0,0,27,12,9,0,4,14,39,0,1,19,20,40,24,9,0,48,0,5,4,10,12,0,6,1,1,2,14,2,42,3,0,1,52,45,10,0,7,16,0,23,1,3,3,21,41
101406,1160,6,1,24,46,2,14,39,0,12,38,17,0,7,48,2,36,38,61,1,4,3,47,43,17,14,0,0,28,20,13,0,1,10,51,1,1,31,25,61,27,11,1,55,1,2,4,12,11,0,1,0,0,0,14,1,41,3,0,1,56,46,6,1,13,12,1,32,4,1,4,8,29
101407,1065,6,1,27,33,2,23,42,0,12,25,10,0,13,48,3,42,35,53,0,3,0,46,40,7,16,1,0,25,18,13,0,3,16,34,0,0,19,19,44,30,21,0,50,2,1,4,5,10,1,4,0,0,3,8,0,48,0,2,0,56,44,14,1,2,12,1,29,4,1,3,7,23
101408,1056,10,4,31,44,0,17,42,2,16,34,17,0,5,36,3,37,29,43,1,4,1,47,28,12,9,0,0,20,21,13,2,2,9,36,0,0,25,21,35,31,12,0,55,1,2,4,8,12,1,6,0,0,0,17,1,39,1,0,0,51,48,5,0,6,10,3,25,5,2,2,17,36
101501,996,1,1,17,13,0,19,51,0,12,12,31,0,10,37,2,42,37,47,0,0,0,48,52,17,11,0,0,41,19,10,0,10,12,34,0,0,22,26,43,28,28,0,48,0,1,6,2,2,1,11,8,1,2,3,1,27,1,1,0,33,47,0,0,1,2,0,18,5,2,22,2,16
101502,1008,0,1,11,9,0,28,55,0,9,8,25,0,13,23,5,49,33,49,0,0,0,37,61,23,16,1,1,50,25,7,1,14,20,30,0,1,14,18,53,15,31,1,43,0,0,3,2,3,1,13,5,0,2,3,1,21,3,2,0,43,51,2,0,1,4,4,30,1,0,21,0,12
101601,1619,3,6,38,57,1,31,74,0,22,51,15,0,20,66,8,77,29,47,0,2,0,66,57,33,18,1,1,65,47,26,0,0,21,43,0,1,33,42,66,40,45,1,52,1,4,5,8,27,1,16,0,3,1,10,0,64,11,10,1,71,66,5,0,0,20,0,41,4,0,7,12,26
101602,1591,4,0,37,50,0,32,80,0,27,39,14,0,12,63,8,80,34,53,0,0,0,66,57,41,9,1,0,64,43,26,1,0,26,58,1,0,31,37,75,43,42,2,41,0,3,5,7,15,1,22,3,1,0,8,3,62,10,11,1,65,60,3,0,1,24,1,45,2,0,6,6,29
